x, y, z, Dynamic Pressure
0.,0.,0.,4.42853064e-07
0.010,0.,0.,1.77703737e-06
0.020,0.,0.,6.54732412e-06
0.031,0.,0.,1.62481265e-05
0.041,0.,0.,3.21023981e-05
0.051,0.,0.,5.5520577e-05
0.061,0.,0.,8.89090879e-05
0.071,0.,0.,0.000135873997
0.082,0.,0.,0.0002019557
0.092,0.,0.,0.000294614874
0.102,0.,0.,0.000424165977
0.112,0.,0.,0.000606424059
0.122,0.,0.,0.000859917491
0.133,0.,0.,0.00120814575
0.143,0.,0.,0.00166343967
0.153,0.,0.,0.00222303974
0.163,0.,0.,0.00287000579
0.173,0.,0.,0.00357990758
0.184,0.,0.,0.00432466855
0.194,0.,0.,0.00505919661
0.204,0.,0.,0.00571681187
0.214,0.,0.,0.00623526983
0.224,0.,0.,0.00654827058
0.235,0.,0.,0.00665745884
0.245,0.,0.,0.00656082528
0.255,0.,0.,0.00637179054
0.265,0.,0.,0.00603385642
0.276,0.,0.,0.00557136163
0.286,0.,0.,0.0049223681
0.296,0.,0.,0.00398050807
0.306,0.,0.,0.00299486308
0.316,0.,0.,0.00213363813
0.327,0.,0.,0.00149679743
0.337,0.,0.,0.00115905702
0.347,0.,0.,0.000953071518
0.357,0.,0.,0.000709028391
0.367,0.,0.,0.000514972082
0.378,0.,0.,0.000362441497
0.388,0.,0.,0.000245613861
0.398,0.,0.,0.000152362758
0.408,0.,0.,8.22305592e-05
0.418,0.,0.,4.08810447e-05
0.429,0.,0.,1.92075986e-05
0.439,0.,0.,9.87559997e-06
0.449,0.,0.,6.16487978e-06
0.459,0.,0.,4.68512644e-06
0.469,0.,0.,3.80142865e-06
0.48,0.,0.,2.86164777e-06
0.49,0.,0.,1.57074101e-06
0.5,0.,0.,7.81452172e-07
0.,0.010,0.,1.1441806e-06
0.010,0.010,0.,3.38859672e-06
0.020,0.010,0.,1.07924989e-05
0.031,0.010,0.,2.51537531e-05
0.041,0.010,0.,4.84593147e-05
0.051,0.010,0.,8.30552017e-05
0.061,0.010,0.,0.000133025838
0.071,0.010,0.,0.000204117678
0.082,0.010,0.,0.000305353955
0.092,0.010,0.,0.000449237792
0.102,0.010,0.,0.000653979834
0.112,0.010,0.,0.000950863876
0.122,0.010,0.,0.0013784084
0.133,0.010,0.,0.00199489482
0.143,0.010,0.,0.00282172114
0.153,0.010,0.,0.00384978997
0.163,0.010,0.,0.00505750533
0.173,0.010,0.,0.00640485529
0.184,0.010,0.,0.00783937797
0.194,0.010,0.,0.00927510299
0.204,0.010,0.,0.0105748912
0.214,0.010,0.,0.0115949679
0.224,0.010,0.,0.0121690445
0.235,0.010,0.,0.0122982468
0.245,0.010,0.,0.0119565725
0.255,0.010,0.,0.0114623513
0.265,0.010,0.,0.0106479572
0.276,0.010,0.,0.00966469944
0.286,0.010,0.,0.00855127629
0.296,0.010,0.,0.00689504761
0.306,0.010,0.,0.00511922222
0.316,0.010,0.,0.00355464662
0.327,0.010,0.,0.0023449685
0.337,0.010,0.,0.00164563919
0.347,0.010,0.,0.00139067788
0.357,0.010,0.,0.0011594207
0.367,0.010,0.,0.000897219288
0.378,0.010,0.,0.000661648228
0.388,0.010,0.,0.000474354107
0.398,0.010,0.,0.00031790795
0.408,0.010,0.,0.000185752491
0.418,0.010,0.,9.76869778e-05
0.429,0.010,0.,4.76989226e-05
0.439,0.010,0.,2.58969485e-05
0.449,0.010,0.,1.71648553e-05
0.459,0.010,0.,1.37360885e-05
0.469,0.010,0.,1.16240772e-05
0.48,0.010,0.,9.11819188e-06
0.49,0.010,0.,5.3964477e-06
0.5,0.010,0.,3.08836115e-06
0.,0.020,0.,2.92164123e-06
0.010,0.020,0.,6.89125682e-06
0.020,0.020,0.,1.89776383e-05
0.031,0.020,0.,4.11972433e-05
0.041,0.020,0.,7.69642938e-05
0.051,0.020,0.,0.000130385466
0.061,0.020,0.,0.000208942191
0.071,0.020,0.,0.000322193344
0.082,0.020,0.,0.000486992183
0.092,0.020,0.,0.000723860867
0.102,0.020,0.,0.0010647258
0.112,0.020,0.,0.00157527323
0.122,0.020,0.,0.00233784784
0.133,0.020,0.,0.00350018148
0.143,0.020,0.,0.00509294029
0.153,0.020,0.,0.00707866065
0.163,0.020,0.,0.00943167321
0.173,0.020,0.,0.0120925624
0.184,0.020,0.,0.0149810705
0.194,0.020,0.,0.0179140735
0.204,0.020,0.,0.0205749404
0.214,0.020,0.,0.0226158462
0.224,0.020,0.,0.0236106664
0.235,0.020,0.,0.0235672276
0.245,0.020,0.,0.0222932994
0.255,0.020,0.,0.0208228193
0.265,0.020,0.,0.0187985711
0.276,0.020,0.,0.015982246
0.286,0.020,0.,0.013776239
0.296,0.020,0.,0.0114543065
0.306,0.020,0.,0.0088196015
0.316,0.020,0.,0.00650243741
0.327,0.020,0.,0.00474520773
0.337,0.020,0.,0.00476992968
0.347,0.020,0.,0.00570066134
0.357,0.020,0.,0.00543119479
0.367,0.020,0.,0.00447818264
0.378,0.020,0.,0.0033624908
0.388,0.020,0.,0.00226919143
0.398,0.020,0.,0.00126674329
0.408,0.020,0.,0.000586534326
0.418,0.020,0.,0.000296751794
0.429,0.020,0.,0.000151926943
0.439,0.020,0.,7.86510791e-05
0.449,0.020,0.,5.12027036e-05
0.459,0.020,0.,4.07943371e-05
0.469,0.020,0.,3.47065943e-05
0.48,0.020,0.,2.75753282e-05
0.49,0.020,0.,1.70586536e-05
0.5,0.020,0.,1.05890504e-05
0.,0.031,0.,5.5643377e-06
0.010,0.031,0.,1.12573962e-05
0.020,0.031,0.,2.73879104e-05
0.031,0.031,0.,5.55778788e-05
0.041,0.031,0.,0.000100911748
0.051,0.031,0.,0.000169546547
0.061,0.031,0.,0.000273901096
0.071,0.031,0.,0.00042713352
0.082,0.031,0.,0.000656154356
0.092,0.031,0.,0.000982740195
0.102,0.031,0.,0.00144605862
0.112,0.031,0.,0.0021598069
0.122,0.031,0.,0.00328468299
0.133,0.031,0.,0.00518914266
0.143,0.031,0.,0.0077905152
0.153,0.031,0.,0.0108736586
0.163,0.031,0.,0.0144573059
0.173,0.031,0.,0.018477669
0.184,0.031,0.,0.0228762738
0.194,0.031,0.,0.0273526087
0.204,0.031,0.,0.0313146636
0.214,0.031,0.,0.0341563299
0.224,0.031,0.,0.0351610519
0.235,0.031,0.,0.034357354
0.245,0.031,0.,0.031021513
0.255,0.031,0.,0.0265006684
0.265,0.031,0.,0.0234187655
0.276,0.031,0.,0.0238699857
0.286,0.031,0.,0.026416814
0.296,0.031,0.,0.0267718993
0.306,0.031,0.,0.0254020412
0.316,0.031,0.,0.0236864798
0.327,0.031,0.,0.0221512876
0.337,0.031,0.,0.0219425745
0.347,0.031,0.,0.0213691145
0.357,0.031,0.,0.0186679531
0.367,0.031,0.,0.0149767268
0.378,0.031,0.,0.011049645
0.388,0.031,0.,0.00736020505
0.398,0.031,0.,0.00418491103
0.408,0.031,0.,0.00205680961
0.418,0.031,0.,0.000923619547
0.429,0.031,0.,0.000370687863
0.439,0.031,0.,0.000193934844
0.449,0.031,0.,0.000117513264
0.459,0.031,0.,8.92593671e-05
0.469,0.031,0.,7.42382254e-05
0.48,0.031,0.,5.87906179e-05
0.49,0.031,0.,3.72017021e-05
0.5,0.031,0.,2.4128396e-05
0.,0.041,0.,9.05523666e-06
0.010,0.041,0.,1.6617234e-05
0.020,0.041,0.,3.67493449e-05
0.031,0.041,0.,7.07966974e-05
0.041,0.041,0.,0.000126719853
0.051,0.041,0.,0.000215370994
0.061,0.041,0.,0.000359200465
0.071,0.041,0.,0.000577616272
0.082,0.041,0.,0.000928801834
0.092,0.041,0.,0.00140412338
0.102,0.041,0.,0.00202687411
0.112,0.041,0.,0.00298953964
0.122,0.041,0.,0.00460119825
0.133,0.041,0.,0.00735995453
0.143,0.041,0.,0.0108059784
0.153,0.041,0.,0.0145686446
0.163,0.041,0.,0.0187881012
0.173,0.041,0.,0.0233747195
0.184,0.041,0.,0.0283285305
0.194,0.041,0.,0.0333160274
0.204,0.041,0.,0.0377144963
0.214,0.041,0.,0.0407039933
0.224,0.041,0.,0.0413765721
0.235,0.041,0.,0.039714098
0.245,0.041,0.,0.0361692086
0.255,0.041,0.,0.0371429324
0.265,0.041,0.,0.0450203493
0.276,0.041,0.,0.0564717092
0.286,0.041,0.,0.066411078
0.296,0.041,0.,0.0711295679
0.306,0.041,0.,0.0729862452
0.316,0.041,0.,0.0722837523
0.327,0.041,0.,0.0693987086
0.337,0.041,0.,0.0642590895
0.347,0.041,0.,0.05640544
0.357,0.041,0.,0.0467367694
0.367,0.041,0.,0.0365192182
0.378,0.041,0.,0.0265863612
0.388,0.041,0.,0.0178072806
0.398,0.041,0.,0.0106717367
0.408,0.041,0.,0.00559686497
0.418,0.041,0.,0.0023272289
0.429,0.041,0.,0.000765957171
0.439,0.041,0.,0.000395174604
0.449,0.041,0.,0.000229174737
0.459,0.041,0.,0.000164755023
0.469,0.041,0.,0.000133342342
0.48,0.041,0.,0.000104931751
0.49,0.041,0.,6.70752706e-05
0.5,0.041,0.,4.43666213e-05
0.,0.051,0.,1.36260296e-05
0.010,0.051,0.,2.35961597e-05
0.020,0.051,0.,4.91422616e-05
0.031,0.051,0.,9.25332351e-05
0.041,0.051,0.,0.000168811603
0.051,0.051,0.,0.000302581582
0.061,0.051,0.,0.000541172689
0.071,0.051,0.,0.000916966761
0.082,0.051,0.,0.00152562873
0.092,0.051,0.,0.00226398138
0.102,0.051,0.,0.0031328653
0.112,0.051,0.,0.00438031089
0.122,0.051,0.,0.00659794826
0.133,0.051,0.,0.0130334049
0.143,0.051,0.,0.0218666904
0.153,0.051,0.,0.0288639832
0.163,0.051,0.,0.0346108563
0.173,0.051,0.,0.0396001413
0.184,0.051,0.,0.0441561118
0.194,0.051,0.,0.0484592691
0.204,0.051,0.,0.05268104
0.214,0.051,0.,0.0565123409
0.224,0.051,0.,0.0595141202
0.235,0.051,0.,0.0622176081
0.245,0.051,0.,0.0683871955
0.255,0.051,0.,0.0860576108
0.265,0.051,0.,0.110190719
0.276,0.051,0.,0.132685676
0.286,0.051,0.,0.149935216
0.296,0.051,0.,0.160473883
0.306,0.051,0.,0.166057289
0.316,0.051,0.,0.164749533
0.327,0.051,0.,0.156583145
0.337,0.051,0.,0.141796932
0.347,0.051,0.,0.121818654
0.357,0.051,0.,0.0991875306
0.367,0.051,0.,0.07632415
0.378,0.051,0.,0.0551083982
0.388,0.051,0.,0.0370055288
0.398,0.051,0.,0.0227220114
0.408,0.051,0.,0.0123727815
0.418,0.051,0.,0.0055838339
0.429,0.051,0.,0.00198573107
0.439,0.051,0.,0.000748755992
0.449,0.051,0.,0.000432533154
0.459,0.051,0.,0.000286834111
0.469,0.051,0.,0.000222128656
0.48,0.051,0.,0.000171794381
0.49,0.051,0.,0.00010970587
0.5,0.051,0.,7.29384774e-05
0.,0.061,0.,2.0265994e-05
0.010,0.061,0.,3.427724e-05
0.020,0.061,0.,6.99072261e-05
0.031,0.061,0.,0.000134679023
0.041,0.061,0.,0.000260774774
0.051,0.061,0.,0.000512693252
0.061,0.061,0.,0.00095245312
0.071,0.061,0.,0.00162844022
0.082,0.061,0.,0.00370151061
0.092,0.061,0.,0.00704592187
0.102,0.061,0.,0.0107215643
0.112,0.061,0.,0.0153380465
0.122,0.061,0.,0.0221434236
0.133,0.061,0.,0.0351371504
0.143,0.061,0.,0.0523546673
0.153,0.061,0.,0.067244634
0.163,0.061,0.,0.0787388012
0.173,0.061,0.,0.0873419642
0.184,0.061,0.,0.0937458128
0.194,0.061,0.,0.0991029665
0.204,0.061,0.,0.104807302
0.214,0.061,0.,0.11199668
0.224,0.061,0.,0.121930629
0.235,0.061,0.,0.136729792
0.245,0.061,0.,0.160958201
0.255,0.061,0.,0.196954489
0.265,0.061,0.,0.235561222
0.276,0.061,0.,0.271541893
0.286,0.061,0.,0.301767826
0.296,0.061,0.,0.322054535
0.306,0.061,0.,0.331170529
0.316,0.061,0.,0.326131105
0.327,0.061,0.,0.30695945
0.337,0.061,0.,0.275172532
0.347,0.061,0.,0.23431997
0.357,0.061,0.,0.189099461
0.367,0.061,0.,0.144218057
0.378,0.061,0.,0.103503332
0.388,0.061,0.,0.069439061
0.398,0.061,0.,0.0430513471
0.408,0.061,0.,0.0241265297
0.418,0.061,0.,0.0117386356
0.429,0.061,0.,0.00448466605
0.439,0.061,0.,0.00142224063
0.449,0.061,0.,0.000753695145
0.459,0.061,0.,0.000477187219
0.469,0.061,0.,0.000351895811
0.48,0.061,0.,0.000267325435
0.49,0.061,0.,0.000169670384
0.5,0.061,0.,0.000112712107
0.,0.071,0.,3.09708958e-05
0.010,0.071,0.,5.25658252e-05
0.020,0.071,0.,0.000109791399
0.031,0.071,0.,0.000223746814
0.041,0.071,0.,0.000462487282
0.051,0.071,0.,0.000951483031
0.061,0.071,0.,0.0024416605
0.071,0.071,0.,0.00527980877
0.082,0.071,0.,0.0107206963
0.092,0.071,0.,0.0194693208
0.102,0.071,0.,0.0306523293
0.112,0.071,0.,0.0448739529
0.122,0.071,0.,0.063378036
0.133,0.071,0.,0.0875214934
0.143,0.071,0.,0.115783289
0.153,0.071,0.,0.143345967
0.163,0.071,0.,0.16699338
0.173,0.071,0.,0.185921222
0.184,0.071,0.,0.200654268
0.194,0.071,0.,0.212807655
0.204,0.071,0.,0.224906385
0.214,0.071,0.,0.239935592
0.224,0.071,0.,0.261300623
0.235,0.071,0.,0.292625308
0.245,0.071,0.,0.336952597
0.255,0.071,0.,0.393439174
0.265,0.071,0.,0.453727424
0.276,0.071,0.,0.511231661
0.286,0.071,0.,0.559694648
0.296,0.071,0.,0.591738522
0.306,0.071,0.,0.602316558
0.316,0.071,0.,0.587668419
0.327,0.071,0.,0.548265815
0.337,0.071,0.,0.487784386
0.347,0.071,0.,0.412845671
0.357,0.071,0.,0.33147794
0.367,0.071,0.,0.251654178
0.378,0.071,0.,0.179939419
0.388,0.071,0.,0.120531514
0.398,0.071,0.,0.0750051439
0.408,0.071,0.,0.0427122787
0.418,0.071,0.,0.0215326995
0.429,0.071,0.,0.00903555844
0.439,0.071,0.,0.00311464909
0.449,0.071,0.,0.00125231699
0.459,0.071,0.,0.000775788038
0.469,0.071,0.,0.000543590402
0.48,0.071,0.,0.000404735503
0.49,0.071,0.,0.000253999664
0.5,0.071,0.,0.000167995051
0.,0.082,0.,4.92026884e-05
0.010,0.082,0.,8.58976418e-05
0.020,0.082,0.,0.000187744416
0.031,0.082,0.,0.000405932253
0.041,0.082,0.,0.000853506324
0.051,0.082,0.,0.00239918102
0.061,0.082,0.,0.00646016235
0.071,0.082,0.,0.0137446476
0.082,0.082,0.,0.0254012682
0.092,0.082,0.,0.0429978594
0.102,0.082,0.,0.0670424253
0.112,0.082,0.,0.0979539976
0.122,0.082,0.,0.136017442
0.133,0.082,0.,0.180937812
0.143,0.082,0.,0.229790002
0.153,0.082,0.,0.277635425
0.163,0.082,0.,0.320828497
0.173,0.082,0.,0.357434183
0.184,0.082,0.,0.38753733
0.194,0.082,0.,0.413021088
0.204,0.082,0.,0.437594414
0.214,0.082,0.,0.466346264
0.224,0.082,0.,0.505079448
0.235,0.082,0.,0.558994234
0.245,0.082,0.,0.630524218
0.255,0.082,0.,0.716920972
0.265,0.082,0.,0.809513152
0.276,0.082,0.,0.897865713
0.286,0.082,0.,0.969583035
0.296,0.082,0.,1.01233077
0.306,0.082,0.,1.017663
0.316,0.082,0.,0.981814742
0.327,0.082,0.,0.907199979
0.337,0.082,0.,0.801206231
0.347,0.082,0.,0.674696386
0.357,0.082,0.,0.539999962
0.367,0.082,0.,0.409113407
0.378,0.082,0.,0.292089164
0.388,0.082,0.,0.195490718
0.398,0.082,0.,0.121811494
0.408,0.082,0.,0.0698693544
0.418,0.082,0.,0.0359300971
0.429,0.082,0.,0.0160218216
0.439,0.082,0.,0.00573760457
0.449,0.082,0.,0.00188028265
0.459,0.082,0.,0.00117147865
0.469,0.082,0.,0.00081040815
0.48,0.082,0.,0.00059725513
0.49,0.082,0.,0.000371165283
0.5,0.082,0.,0.000243895338
0.,0.092,0.,8.0317317e-05
0.010,0.092,0.,0.000144173537
0.020,0.092,0.,0.000335092249
0.031,0.092,0.,0.000743278884
0.041,0.092,0.,0.00207836018
0.051,0.092,0.,0.00594972773
0.061,0.092,0.,0.0140277743
0.071,0.092,0.,0.0279545598
0.082,0.092,0.,0.0501453504
0.092,0.092,0.,0.0829867348
0.102,0.092,0.,0.127892464
0.112,0.092,0.,0.18534483
0.122,0.092,0.,0.254342079
0.133,0.092,0.,0.332140684
0.143,0.092,0.,0.413688868
0.153,0.092,0.,0.492914528
0.163,0.092,0.,0.565057755
0.173,0.092,0.,0.627215385
0.184,0.092,0.,0.679142952
0.194,0.092,0.,0.723611176
0.204,0.092,0.,0.766371787
0.214,0.092,0.,0.815488338
0.224,0.092,0.,0.880247176
0.235,0.092,0.,0.968353629
0.245,0.092,0.,1.08204603
0.255,0.092,0.,1.21626496
0.265,0.092,0.,1.35806572
0.276,0.092,0.,1.48871791
0.286,0.092,0.,1.58722293
0.296,0.092,0.,1.63499427
0.306,0.092,0.,1.62066627
0.316,0.092,0.,1.54253602
0.327,0.092,0.,1.40833092
0.337,0.092,0.,1.23222435
0.347,0.092,0.,1.03129387
0.357,0.092,0.,0.82286334
0.367,0.092,0.,0.622856855
0.378,0.092,0.,0.444768339
0.388,0.092,0.,0.297797263
0.398,0.092,0.,0.185712799
0.408,0.092,0.,0.106758215
0.418,0.092,0.,0.0552117378
0.429,0.092,0.,0.024776116
0.439,0.092,0.,0.0086465776
0.449,0.092,0.,0.00259753317
0.459,0.092,0.,0.00165918772
0.469,0.092,0.,0.00116903486
0.48,0.092,0.,0.000863003195
0.49,0.092,0.,0.000532378152
0.5,0.092,0.,0.00034699653
0.,0.102,0.,0.000129352382
0.010,0.102,0.,0.000235297659
0.020,0.102,0.,0.000552351354
0.031,0.102,0.,0.00158897485
0.041,0.102,0.,0.00470415968
0.051,0.102,0.,0.0119512277
0.061,0.102,0.,0.0260720551
0.071,0.102,0.,0.0503192544
0.082,0.102,0.,0.0886520594
0.092,0.102,0.,0.144989148
0.102,0.102,0.,0.221765012
0.112,0.102,0.,0.319157988
0.122,0.102,0.,0.434378326
0.133,0.102,0.,0.56175673
0.143,0.102,0.,0.693345189
0.153,0.102,0.,0.820592761
0.163,0.102,0.,0.936219811
0.173,0.102,0.,1.03544044
0.184,0.102,0.,1.11753893
0.194,0.102,0.,1.18709326
0.204,0.102,0.,1.25410068
0.214,0.102,0.,1.3322258
0.224,0.102,0.,1.43639374
0.235,0.102,0.,1.57765961
0.245,0.102,0.,1.75813174
0.255,0.102,0.,1.96821547
0.265,0.102,0.,2.18468404
0.276,0.102,0.,2.3744874
0.286,0.102,0.,2.50263095
0.296,0.102,0.,2.54140782
0.306,0.102,0.,2.4786706
0.316,0.102,0.,2.31990981
0.327,0.102,0.,2.08451128
0.337,0.102,0.,1.79918814
0.347,0.102,0.,1.49083555
0.357,0.102,0.,1.18262768
0.367,0.102,0.,0.893348157
0.378,0.102,0.,0.63819921
0.388,0.102,0.,0.427885056
0.398,0.102,0.,0.267170131
0.408,0.102,0.,0.153658867
0.418,0.102,0.,0.0794376209
0.429,0.102,0.,0.0353887491
0.439,0.102,0.,0.0120037775
0.449,0.102,0.,0.00348849269
0.459,0.102,0.,0.00230577565
0.469,0.102,0.,0.00166692201
0.48,0.102,0.,0.00123546692
0.49,0.102,0.,0.000754959765
0.5,0.102,0.,0.000486644916
0.,0.112,0.,0.000190529317
0.010,0.112,0.,0.000341079663
0.020,0.112,0.,0.00076162687
0.031,0.112,0.,0.00284793903
0.041,0.112,0.,0.00856072456
0.051,0.112,0.,0.0206293315
0.061,0.112,0.,0.0435701124
0.071,0.112,0.,0.0827602223
0.082,0.112,0.,0.144684523
0.092,0.112,0.,0.235215634
0.102,0.112,0.,0.357758552
0.112,0.112,0.,0.511935294
0.122,0.112,0.,0.692969263
0.133,0.112,0.,0.892348289
0.143,0.112,0.,1.09875286
0.153,0.112,0.,1.29947686
0.163,0.112,0.,1.48221421
0.173,0.112,0.,1.63750029
0.184,0.112,0.,1.76291907
0.194,0.112,0.,1.86609316
0.204,0.112,0.,1.96509242
0.214,0.112,0.,2.08479404
0.224,0.112,0.,2.25037098
0.235,0.112,0.,2.47941017
0.245,0.112,0.,2.77330995
0.255,0.112,0.,3.11066484
0.265,0.112,0.,3.44639683
0.276,0.112,0.,3.721241
0.286,0.112,0.,3.8776288
0.296,0.112,0.,3.87719965
0.306,0.112,0.,3.71221614
0.316,0.112,0.,3.40499187
0.327,0.112,0.,2.99720788
0.337,0.112,0.,2.53700066
0.347,0.112,0.,2.06778765
0.357,0.112,0.,1.62111783
0.367,0.112,0.,1.21686888
0.378,0.112,0.,0.867880404
0.388,0.112,0.,0.582467973
0.398,0.112,0.,0.364287466
0.408,0.112,0.,0.209651962
0.418,0.112,0.,0.108293809
0.429,0.112,0.,0.047936447
0.439,0.112,0.,0.0159607939
0.449,0.112,0.,0.00463590492
0.459,0.112,0.,0.00320790824
0.469,0.112,0.,0.00237781601
0.48,0.112,0.,0.00176164589
0.49,0.112,0.,0.00106168701
0.5,0.112,0.,0.000674142735
0.,0.122,0.,0.000263394671
0.010,0.122,0.,0.000457016926
0.020,0.122,0.,0.000978199765
0.031,0.122,0.,0.00425714254
0.041,0.122,0.,0.0134669859
0.051,0.122,0.,0.0321750194
0.061,0.122,0.,0.067122139
0.071,0.122,0.,0.126809105
0.082,0.122,0.,0.220978409
0.092,0.122,0.,0.358028471
0.102,0.122,0.,0.542455316
0.112,0.122,0.,0.77363348
0.122,0.122,0.,1.04597962
0.133,0.122,0.,1.34955502
0.143,0.122,0.,1.6697495
0.153,0.122,0.,1.98713017
0.163,0.122,0.,2.27896833
0.173,0.122,0.,2.52535105
0.184,0.122,0.,2.71871066
0.194,0.122,0.,2.8709507
0.204,0.122,0.,3.01565838
0.214,0.122,0.,3.19987202
0.224,0.122,0.,3.468328
0.235,0.122,0.,3.84941125
0.245,0.122,0.,4.33815432
0.255,0.122,0.,4.88592625
0.265,0.122,0.,5.40592432
0.276,0.122,0.,5.79384327
0.286,0.122,0.,5.96114635
0.296,0.122,0.,5.86280203
0.306,0.122,0.,5.50435162
0.316,0.122,0.,4.93659925
0.327,0.122,0.,4.23971272
0.337,0.122,0.,3.49929667
0.347,0.122,0.,2.78594255
0.357,0.122,0.,2.14315176
0.367,0.122,0.,1.58877265
0.378,0.122,0.,1.12641561
0.388,0.122,0.,0.755194068
0.398,0.122,0.,0.472977281
0.408,0.122,0.,0.272660494
0.418,0.122,0.,0.140989751
0.429,0.122,0.,0.0622753426
0.439,0.122,0.,0.0206050463
0.449,0.122,0.,0.00620882679
0.459,0.122,0.,0.00458840979
0.469,0.122,0.,0.00345557649
0.48,0.122,0.,0.00252625626
0.49,0.122,0.,0.00148850796
0.5,0.122,0.,0.000925124739
0.,0.133,0.,0.000356355391
0.010,0.133,0.,0.000601700856
0.020,0.133,0.,0.00125746592
0.031,0.133,0.,0.00589907588
0.041,0.133,0.,0.0192670561
0.051,0.133,0.,0.0462768264
0.061,0.133,0.,0.0965895504
0.071,0.133,0.,0.182609171
0.082,0.133,0.,0.318029374
0.092,0.133,0.,0.514331996
0.102,0.133,0.,0.777907729
0.112,0.133,0.,1.11015201
0.122,0.133,0.,1.50859427
0.133,0.133,0.,1.96553588
0.143,0.133,0.,2.46368146
0.153,0.133,0.,2.97206116
0.163,0.133,0.,3.44726276
0.173,0.133,0.,3.8477788
0.184,0.133,0.,4.15404844
0.194,0.133,0.,4.3844223
0.204,0.133,0.,4.60142517
0.214,0.133,0.,4.89311361
0.224,0.133,0.,5.33776236
0.235,0.133,0.,5.97421789
0.245,0.133,0.,6.77577257
0.255,0.133,0.,7.64120102
0.265,0.133,0.,8.41305161
0.276,0.133,0.,8.92593765
0.286,0.133,0.,9.0554266
0.296,0.133,0.,8.75135612
0.306,0.133,0.,8.04935265
0.316,0.133,0.,7.05229759
0.327,0.133,0.,5.90092325
0.337,0.133,0.,4.73641777
0.347,0.133,0.,3.66742468
0.357,0.133,0.,2.75243211
0.367,0.133,0.,2.00303864
0.378,0.133,0.,1.40464687
0.388,0.133,0.,0.937770844
0.398,0.133,0.,0.587495089
0.408,0.133,0.,0.339607954
0.418,0.133,0.,0.1765223
0.429,0.133,0.,0.0788864046
0.439,0.133,0.,0.0268479157
0.449,0.133,0.,0.00872649346
0.459,0.133,0.,0.00673068967
0.469,0.133,0.,0.0050709513
0.48,0.133,0.,0.00361512974
0.49,0.133,0.,0.00207124022
0.5,0.133,0.,0.0012544354
0.,0.143,0.,0.00047631358
0.010,0.143,0.,0.000788173755
