Node Number,x,y,z,Dynamic Pressure
1358.0,0.007,0.007,0.0,0.122
1577.0,0.017,0.007,0.0,0.18
1818.0,0.027,0.007,0.0,0.251
2082.0,0.037,0.007,0.0,0.33
2370.0,0.048,0.007,0.0,0.414
2683.0,0.058,0.007,0.0,0.495
3022.0,0.068,0.007,0.0,0.568
3388.0,0.078,0.007,0.0,0.629
3782.0,0.088,0.007,0.0,0.676
4205.0,0.099,0.007,0.0,0.711
4658.0,0.109,0.007,0.0,0.74
5142.0,0.119,0.007,0.0,0.77
5658.0,0.129,0.007,0.0,0.811
6207.0,0.139,0.007,0.0,0.872
6790.0,0.15,0.007,0.0,0.958
7408.0,0.16,0.007,0.0,1.07
8062.0,0.17,0.007,0.0,1.2
8753.0,0.18,0.007,0.0,1.33
9482.0,0.19,0.007,0.0,1.44
10250.0,0.201,0.007,0.0,1.52
11058.0,0.211,0.007,0.0,1.54
11907.0,0.221,0.007,0.0,1.51
12798.0,0.231,0.007,0.0,1.41
13732.0,0.241,0.007,0.0,1.27
3782.0,0.259,0.007,0.0,0.676
4205.0,0.269,0.007,0.0,0.711
4658.0,0.279,0.007,0.0,0.74
5142.0,0.289,0.007,0.0,0.77
5658.0,0.299,0.007,0.0,0.811
6207.0,0.309,0.007,0.0,0.872
6790.0,0.32,0.007,0.0,0.958
7408.0,0.33,0.007,0.0,1.07
8062.0,0.34,0.007,0.0,1.2
8753.0,0.35,0.007,0.0,1.33
9482.0,0.361,0.007,0.0,1.44
10250.0,0.371,0.007,0.0,1.52
11058.0,0.381,0.007,0.0,1.54
11907.0,0.391,0.007,0.0,1.51
12798.0,0.401,0.007,0.0,1.41
13732.0,0.412,0.007,0.0,1.27
14710.0,0.422,0.007,0.0,1.1
15733.0,0.432,0.007,0.0,0.91
16802.0,0.442,0.007,0.0,0.722
17918.0,0.452,0.007,0.0,0.546
19082.0,0.463,0.007,0.0,0.392
20295.0,0.473,0.007,0.0,0.266
21558.0,0.483,0.007,0.0,0.17
22872.0,0.493,0.007,0.0,0.1
1565.0,0.007,0.017,0.0,0.198
1805.0,0.017,0.017,0.0,0.292
2068.0,0.027,0.017,0.0,0.406
2355.0,0.037,0.017,0.0,0.535
2667.0,0.048,0.017,0.0,0.671
3005.0,0.058,0.017,0.0,0.803
3370.0,0.068,0.017,0.0,0.924
3763.0,0.078,0.017,0.0,1.03
4185.0,0.088,0.017,0.0,1.11
4637.0,0.099,0.017,0.0,1.17
5120.0,0.109,0.017,0.0,1.23
5635.0,0.119,0.017,0.0,1.28
6183.0,0.129,0.017,0.0,1.35
6765.0,0.139,0.017,0.0,1.45
7382.0,0.15,0.017,0.0,1.59
8035.0,0.16,0.017,0.0,1.77
8725.0,0.17,0.017,0.0,1.98
9453.0,0.18,0.017,0.0,2.19
10220.0,0.19,0.017,0.0,2.36
11027.0,0.201,0.017,0.0,2.46
11875.0,0.211,0.017,0.0,2.47
12765.0,0.221,0.017,0.0,2.37
13698.0,0.231,0.017,0.0,2.19
14675.0,0.241,0.017,0.0,1.94
4185.0,0.259,0.017,0.0,1.11
4637.0,0.269,0.017,0.0,1.17
5120.0,0.279,0.017,0.0,1.23
5635.0,0.289,0.017,0.0,1.28
6183.0,0.299,0.017,0.0,1.35
6765.0,0.309,0.017,0.0,1.45
7382.0,0.32,0.017,0.0,1.59
8035.0,0.33,0.017,0.0,1.77
8725.0,0.34,0.017,0.0,1.98
9453.0,0.35,0.017,0.0,2.19
10220.0,0.361,0.017,0.0,2.36
11027.0,0.371,0.017,0.0,2.46
11875.0,0.381,0.017,0.0,2.47
12765.0,0.391,0.017,0.0,2.37
13698.0,0.401,0.017,0.0,2.19
14675.0,0.412,0.017,0.0,1.94
15697.0,0.422,0.017,0.0,1.65
16765.0,0.432,0.017,0.0,1.35
17880.0,0.442,0.017,0.0,1.07
19043.0,0.452,0.017,0.0,0.804
20255.0,0.463,0.017,0.0,0.577
21517.0,0.473,0.017,0.0,0.393
22830.0,0.483,0.017,0.0,0.251
24195.0,0.493,0.017,0.0,0.149
1793.0,0.007,0.027,0.0,0.302
2055.0,0.017,0.027,0.0,0.445
2341.0,0.027,0.027,0.0,0.619
2652.0,0.037,0.027,0.0,0.816
2989.0,0.048,0.027,0.0,1.02
3353.0,0.058,0.027,0.0,1.23
3745.0,0.068,0.027,0.0,1.43
4166.0,0.078,0.027,0.0,1.6
4617.0,0.088,0.027,0.0,1.74
5099.0,0.099,0.027,0.0,1.85
5613.0,0.109,0.027,0.0,1.94
6160.0,0.119,0.027,0.0,2.02
6741.0,0.129,0.027,0.0,2.14
7357.0,0.139,0.027,0.0,2.3
8009.0,0.15,0.027,0.0,2.54
8698.0,0.16,0.027,0.0,2.84
9425.0,0.17,0.027,0.0,3.18
