Node Number,x,y,z,Dynamic Pressure
0.0,0.0,0.0,0.0,0.122
4150.0,0.01,0.0,0.0,0.18
8300.0,0.02,0.0,0.0,0.251
12450.0,0.03,0.0,0.0,0.33
16600.0,0.04,0.0,0.0,0.414
20750.0,0.05,0.0,0.0,0.495
24900.0,0.06,0.0,0.0,0.568
29050.0,0.07,0.0,0.0,0.629
33200.0,0.08,0.0,0.0,0.676
37350.0,0.09,0.0,0.0,0.7110926999999999
45650.0,0.1,0.0,0.0,0.740183
53950.0,0.11,0.0,0.0,0.770455
62250.0,0.12,0.0,0.0,0.81283
70550.0,0.13,0.0,0.0,0.87757
78850.0,0.14,0.0,0.0,0.9709
87150.0,0.15,0.0,0.0,1.0956000000000001
95450.0,0.16,0.0,0.0,0.0464
99600.0,0.17,0.0,0.0,1.2778
107900.0,0.18,0.0,0.0,1.452
116200.0,0.19,0.0,0.0,1.6199999999999999
124500.0,0.2,0.0,0.0,1.771
132800.0,0.21,0.0,0.0,1.87
141100.0,0.22,0.0,0.0,1.924
149400.0,0.23,0.0,0.0,1.9049999999999998
157700.0,0.24,0.0,0.0,1.838
166000.0,0.25,0.0,0.0,0.629
170150.0,0.26,0.0,0.0,1.7760000000000002
178450.0,0.27,0.0,0.0,2.343
190900.0,0.28,0.0,0.0,1.286
199200.0,0.29,0.0,0.0,1.162
207500.0,0.3,0.0,0.0,1.077
215800.0,0.31,0.0,0.0,1.042
224100.0,0.32,0.0,0.0,1.058
232400.0,0.33,0.0,0.0,1.124
240700.0,0.34,0.0,0.0,0.0252
244850.0,0.35,0.0,0.0,1.20887
253150.0,0.36,0.0,0.0,2.77255
265600.0,0.38,0.0,0.0,1.52165
273900.0,0.39,0.0,0.0,1.54114
282200.0,0.4,0.0,0.0,1.511323
294650.0,0.41,0.0,0.0,1.410328
302950.0,0.42,0.0,0.0,1.27
307100.0,0.43,0.0,0.0,1.1
311250.0,0.44,0.0,0.0,0.91
315400.0,0.45,0.0,0.0,0.722
319550.0,0.46,0.0,0.0,0.546
323700.0,0.47,0.0,0.0,0.392
327850.0,0.48,0.0,0.0,0.43600000000000005
336150.0,0.49,0.0,0.0,0.1
340300.0,0.51,0.0,0.0,0.054
50.0,0.0,0.01,0.0,0.198
4200.0,0.01,0.01,0.0,0.292
8350.0,0.02,0.01,0.0,0.406
12500.0,0.03,0.01,0.0,0.535
16650.0,0.04,0.01,0.0,0.671
20800.0,0.05,0.01,0.0,0.803
24950.0,0.06,0.01,0.0,0.924
29100.0,0.07,0.01,0.0,1.03
33250.0,0.08,0.01,0.0,1.11
37450.0,0.09,0.01,0.0,1.170164
45750.0,0.1,0.01,0.0,1.23031
54050.0,0.11,0.01,0.0,1.280913
62350.0,0.12,0.01,0.0,1.35322
70650.0,0.13,0.01,0.0,1.4593099999999999
78950.0,0.14,0.01,0.0,1.6112000000000002
87250.0,0.15,0.01,0.0,1.8119
95500.0,0.16,0.01,0.0,0.0755
99700.0,0.17,0.01,0.0,2.106
108000.0,0.18,0.01,0.0,2.388
116300.0,0.19,0.01,0.0,2.6519999999999997
124600.0,0.2,0.01,0.0,2.866
132900.0,0.21,0.01,0.0,3.0050000000000003
141200.0,0.22,0.01,0.0,3.0410000000000004
149500.0,0.23,0.01,0.0,2.993
157800.0,0.24,0.01,0.0,2.864
166050.0,0.25,0.01,0.0,1.03
