x,y,z,dynamic pressure
0.0,0.0,0.0,3.77e-07
0.0,0.0,0.01,1.68e-06
0.0,0.0,0.02,7e-06
0.0,0.0,0.03,1.83e-05
0.0,0.0,0.04,3.68e-05
0.0,0.0,0.05,6.37e-05
0.0,0.0,0.06,0.0001
0.0,0.0,0.07,0.000148
0.0,0.0,0.08,0.00021
0.0,0.0,0.09,0.000285
0.0,0.0,0.1,0.000374
0.0,0.0,0.11,0.000475
0.0,0.0,0.12,0.000583
0.0,0.0,0.13,0.000693
0.0,0.0,0.14,0.000797
0.0,0.0,0.15,0.00089
0.0,0.0,0.16,0.000965
0.0,0.0,0.17,0.00102
0.0,0.0,0.18,0.00106
0.0,0.0,0.19,0.00107
0.0,0.0,0.2,0.00107
0.0,0.0,0.21,0.00105
0.0,0.0,0.22,0.00103
0.0,0.0,0.23,0.000991
0.0,0.0,0.24,0.00095
0.0,0.0,0.25,0.000905
0.0,0.0,0.26,0.00086
0.0,0.0,0.27,0.000814
0.0,0.0,0.28,0.000771
0.0,0.0,0.29,0.00073
0.0,0.0,0.3,0.000692
0.0,0.0,0.31,0.000657
0.0,0.0,0.32,0.000625
0.0,0.0,0.33,0.000597
0.0,0.0,0.34,0.000572
0.0,0.0,0.35000000000000003,0.000549
0.0,0.0,0.36,0.000528
0.0,0.0,0.37,0.000508
0.0,0.0,0.38,0.00049
0.0,0.0,0.39,0.000473
0.0,0.0,0.4,0.000455
0.0,0.0,0.41000000000000003,0.000438
0.0,0.0,0.42,0.000421
0.0,0.0,0.43,0.000403
0.0,0.0,0.44,0.000384
0.0,0.0,0.45,0.000365
0.0,0.0,0.46,0.000345
0.0,0.0,0.47000000000000003,0.000321
0.0,0.0,0.48,0.000301
0.0,0.0,0.49,0.000295
0.0,0.01,0.0,8.74e-07
0.0,0.01,0.01,3.23e-06
0.0,0.01,0.02,1.26e-05
0.0,0.01,0.03,3.25e-05
0.0,0.01,0.04,6.6e-05
0.0,0.01,0.05,0.000116
0.0,0.01,0.06,0.000187
0.0,0.01,0.07,0.000284
0.0,0.01,0.08,0.000411
0.0,0.01,0.09,0.000573
0.0,0.01,0.1,0.00077
0.0,0.01,0.11,0.000999
0.0,0.01,0.12,0.00125
0.0,0.01,0.13,0.00151
0.0,0.01,0.14,0.00177
0.0,0.01,0.15,0.002
0.0,0.01,0.16,0.00219
0.0,0.01,0.17,0.00234
0.0,0.01,0.18,0.00244
0.0,0.01,0.19,0.00249
0.0,0.01,0.2,0.00251
0.0,0.01,0.21,0.00248
0.0,0.01,0.22,0.00243
0.0,0.01,0.23,0.00235
0.0,0.01,0.24,0.00226
0.0,0.01,0.25,0.00216
0.0,0.01,0.26,0.00205
0.0,0.01,0.27,0.00195
0.0,0.01,0.28,0.00185
0.0,0.01,0.29,0.00175
0.0,0.01,0.3,0.00167
0.0,0.01,0.31,0.00159
0.0,0.01,0.32,0.00151
0.0,0.01,0.33,0.00145
0.0,0.01,0.34,0.00139
0.0,0.01,0.35000000000000003,0.00134
0.0,0.01,0.36,0.00129
0.0,0.01,0.37,0.00124
0.0,0.01,0.38,0.0012
0.0,0.01,0.39,0.00116
0.0,0.01,0.4,0.00113
0.0,0.01,0.41000000000000003,0.00109
0.0,0.01,0.42,0.00105
0.0,0.01,0.43,0.00101
0.0,0.01,0.44,0.000965
