x,y,z,dynamic pressure
0,0,0,1.57E-01
0,0,0.01,1.68E-01
0,0,0.02,1.82E-01
0,0,0.03,1.92E-01
0,0,0.04,2.01E-01
0,0,0.05,2.08E-01
0,0,0.06,2.12E-01
0,0,0.07,2.13E-01
0,0,0.08,2.12E-01
0,0,0.09,2.10E-01
0,0,0.1,2.06E-01
0,0,0.11,2.02E-01
0,0,0.12,1.97E-01
0,0,0.13,1.92E-01
0,0,0.14,1.87E-01
0,0,0.15,1.83E-01
0,0,0.16,1.78E-01
0,0,0.17,1.73E-01
0,0,0.18,1.69E-01
0,0,0.19,1.64E-01
0,0,0.2,1.59E-01
0,0,0.21,1.53E-01
0,0,0.22,1.46E-01
0,0,0.23,1.39E-01
0,0,0.24,1.33E-01
0,0,0.25,1.25E-01
0,0,0.26,1.18E-01
0,0,0.27,1.11E-01
0,0,0.28,1.04E-01
0,0,0.29,9.85E-02
0,0,0.3,9.34E-02
0,0,0.31,8.89E-02
0,0,0.32,8.51E-02
0,0,0.33,8.19E-02
0,0,0.34,7.95E-02
0,0,0.35,7.77E-02
0,0,0.36,7.65E-02
0,0,0.37,7.59E-02
0,0,0.38,7.56E-02
0,0,0.39,7.58E-02
0,0,0.4,7.64E-02
0,0,0.41,7.72E-02
0,0,0.42,7.81E-02
0,0,0.43,7.92E-02
0,0,0.44,8.01E-02
0,0,0.45,8.09E-02
0,0,0.46,8.14E-02
0,0,0.47,8.13E-02
0,0,0.48,8.06E-02
0,0,0.49,8.01E-02
0,0.01,0,2.58E-01
0,0.01,0.01,2.67E-01
0,0.01,0.02,2.78E-01
0,0.01,0.03,2.83E-01
0,0.01,0.04,2.86E-01
0,0.01,0.05,2.85E-01
0,0.01,0.06,2.81E-01
0,0.01,0.07,2.74E-01
0,0.01,0.08,2.64E-01
0,0.01,0.09,2.54E-01
0,0.01,0.1,2.43E-01
0,0.01,0.11,2.32E-01
0,0.01,0.12,2.23E-01
0,0.01,0.13,2.13E-01
0,0.01,0.14,2.06E-01
0,0.01,0.15,2.00E-01
0,0.01,0.16,1.93E-01
0,0.01,0.17,1.88E-01
0,0.01,0.18,1.82E-01
0,0.01,0.19,1.76E-01
0,0.01,0.2,1.70E-01
0,0.01,0.21,1.64E-01
0,0.01,0.22,1.57E-01
0,0.01,0.23,1.49E-01
0,0.01,0.24,1.41E-01
0,0.01,0.25,1.33E-01
0,0.01,0.26,1.25E-01
0,0.01,0.27,1.18E-01
0,0.01,0.28,1.10E-01
0,0.01,0.29,1.04E-01
0,0.01,0.3,9.85E-02
0,0.01,0.31,9.36E-02
0,0.01,0.32,8.96E-02
0,0.01,0.33,8.63E-02
0,0.01,0.34,8.38E-02
0,0.01,0.35,8.20E-02
0,0.01,0.36,8.09E-02
0,0.01,0.37,8.04E-02
0,0.01,0.38,8.05E-02
0,0.01,0.39,8.10E-02
0,0.01,0.4,8.20E-02
0,0.01,0.41,8.33E-02
0,0.01,0.42,8.48E-02
0,0.01,0.43,8.65E-02
0,0.01,0.44,8.82E-02
0,0.01,0.45,8.96E-02
0,0.01,0.46,9.07E-02
0,0.01,0.47,9.13E-02
0,0.01,0.48,9.11E-02
0,0.01,0.49,9.08E-02
0,0.02,0,3.99E-01
0,0.02,0.01,4.02E-01
0,0.02,0.02,4.04E-01
0,0.02,0.03,4.01E-01
0,0.02,0.04,3.93E-01
0,0.02,0.05,3.80E-01
0,0.02,0.06,3.64E-01
0,0.02,0.07,3.45E-01
0,0.02,0.08,3.24E-01
0,0.02,0.09,3.04E-01
0,0.02,0.1,2.84E-01
0,0.02,0.11,2.67E-01
0,0.02,0.12,2.51E-01
0,0.02,0.13,2.38E-01
0,0.02,0.14,2.27E-01
0,0.02,0.15,2.18E-01
0,0.02,0.16,2.11E-01
0,0.02,0.17,2.04E-01
0,0.02,0.18,1.97E-01
0,0.02,0.19,1.91E-01
0,0.02,0.2,1.84E-01
0,0.02,0.21,1.76E-01
0,0.02,0.22,1.68E-01
0,0.02,0.23,1.60E-01
0,0.02,0.24,1.51E-01
0,0.02,0.25,1.42E-01
0,0.02,0.26,1.33E-01
0,0.02,0.27,1.25E-01
0,0.02,0.28,1.17E-01
0,0.02,0.29,1.10E-01
0,0.02,0.3,1.04E-01
0,0.02,0.31,9.85E-02
0,0.02,0.32,9.42E-02
0,0.02,0.33,9.08E-02
0,0.02,0.34,8.82E-02
0,0.02,0.35,8.65E-02
0,0.02,0.36,8.56E-02
0,0.02,0.37,8.53E-02
0,0.02,0.38,8.57E-02
0,0.02,0.39,8.67E-02
0,0.02,0.4,8.81E-02
0,0.02,0.41,9.00E-02
0,0.02,0.42,9.23E-02
0,0.02,0.43,9.48E-02
0,0.02,0.44,9.72E-02
0,0.02,0.45,9.98E-02
0,0.02,0.46,1.02E-01
0,0.02,0.47,1.03E-01
0,0.02,0.48,1.03E-01
0,0.02,0.49,1.03E-01
0,0.03,0,5.82E-01
0,0.03,0.01,5.76E-01
0,0.03,0.02,5.63E-01
0,0.03,0.03,5.45E-01
0,0.03,0.04,5.20E-01
0,0.03,0.05,4.91E-01
0,0.03,0.06,4.59E-01
0,0.03,0.07,4.24E-01
0,0.03,0.08,3.90E-01
0,0.03,0.09,3.59E-01
0,0.03,0.1,3.28E-01
0,0.03,0.11,3.04E-01
0,0.03,0.12,2.82E-01
0,0.03,0.13,2.65E-01
0,0.03,0.14,2.52E-01
0,0.03,0.15,2.40E-01
0,0.03,0.16,2.31E-01
0,0.03,0.17,2.23E-01
0,0.03,0.18,2.15E-01
0,0.03,0.19,2.08E-01
0,0.03,0.2,1.99E-01
0,0.03,0.21,1.91E-01
0,0.03,0.22,1.81E-01
0,0.03,0.23,1.71E-01
0,0.03,0.24,1.62E-01
0,0.03,0.25,1.51E-01
0,0.03,0.26,1.41E-01
0,0.03,0.27,1.33E-01
0,0.03,0.28,1.24E-01
0,0.03,0.29,1.16E-01
0,0.03,0.3,1.09E-01
0,0.03,0.31,1.04E-01
0,0.03,0.32,9.94E-02
0,0.03,0.33,9.56E-02
0,0.03,0.34,9.30E-02
0,0.03,0.35,9.14E-02
0,0.03,0.36,9.06E-02
0,0.03,0.37,9.06E-02
0,0.03,0.38,9.13E-02
0,0.03,0.39,9.27E-02
0,0.03,0.4,9.48E-02
0,0.03,0.41,9.75E-02
0,0.03,0.42,1.00E-01
0,0.03,0.43,1.04E-01
0,0.03,0.44,1.08E-01
0,0.03,0.45,1.11E-01
0,0.03,0.46,1.14E-01
0,0.03,0.47,1.16E-01
0,0.03,0.48,1.17E-01
0,0.03,0.49,1.18E-01
0,0.04,0,8.06E-01
0,0.04,0.01,7.84E-01
0,0.04,0.02,7.49E-01
0,0.04,0.03,7.10E-01
0,0.04,0.04,6.64E-01
0,0.04,0.05,6.14E-01
0,0.04,0.06,5.61E-01
0,0.04,0.07,5.08E-01
0,0.04,0.08,4.59E-01
0,0.04,0.09,4.14E-01
0,0.04,0.1,3.75E-01
0,0.04,0.11,3.42E-01
0,0.04,0.12,3.15E-01
0,0.04,0.13,2.94E-01
0,0.04,0.14,2.78E-01
0,0.04,0.15,2.64E-01
0,0.04,0.16,2.54E-01
0,0.04,0.17,2.44E-01
0,0.04,0.18,2.36E-01
0,0.04,0.19,2.27E-01
0,0.04,0.2,2.17E-01
0,0.04,0.21,2.07E-01
0,0.04,0.22,1.96E-01
0,0.04,0.23,1.85E-01
0,0.04,0.24,1.73E-01
0,0.04,0.25,1.62E-01
0,0.04,0.26,1.51E-01
0,0.04,0.27,1.41E-01
0,0.04,0.28,1.31E-01
0,0.04,0.29,1.23E-01
0,0.04,0.3,1.15E-01
0,0.04,0.31,1.09E-01
0,0.04,0.32,1.04E-01
0,0.04,0.33,1.01E-01
0,0.04,0.34,9.82E-02
0,0.04,0.35,9.67E-02
0,0.04,0.36,9.60E-02
0,0.04,0.37,9.63E-02
0,0.04,0.38,9.74E-02
0,0.04,0.39,9.91E-02
0,0.04,0.4,1.03E-01
0,0.04,0.41,1.06E-01
0,0.04,0.42,1.10E-01
0,0.04,0.43,1.15E-01
0,0.04,0.44,1.19E-01
0,0.04,0.45,1.24E-01
0,0.04,0.46,1.28E-01
0,0.04,0.47,1.32E-01
0,0.04,0.48,1.34E-01
0,0.04,0.49,1.36E-01
0,0.05,0,1.07E+00
0,0.05,0.01,1.02E+00
0,0.05,0.02,9.56E-01
0,0.05,0.03,8.93E-01
0,0.05,0.04,8.17E-01
0,0.05,0.05,7.43E-01
0,0.05,0.06,6.66E-01
0,0.05,0.07,5.95E-01
0,0.05,0.08,5.28E-01
0,0.05,0.09,4.70E-01
0,0.05,0.1,4.21E-01
0,0.05,0.11,3.81E-01
0,0.05,0.12,3.49E-01
0,0.05,0.13,3.25E-01
0,0.05,0.14,3.06E-01
0,0.05,0.15,2.92E-01
0,0.05,0.16,2.80E-01
0,0.05,0.17,2.69E-01
0,0.05,0.18,2.59E-01
0,0.05,0.19,2.49E-01
0,0.05,0.2,2.38E-01
0,0.05,0.21,2.25E-01
0,0.05,0.22,2.13E-01
0,0.05,0.23,2.00E-01
0,0.05,0.24,1.86E-01
0,0.05,0.25,1.73E-01
0,0.05,0.26,1.61E-01
0,0.05,0.27,1.49E-01
0,0.05,0.28,1.39E-01
0,0.05,0.29,1.30E-01
0,0.05,0.3,1.22E-01
0,0.05,0.31,1.16E-01
0,0.05,0.32,1.10E-01
0,0.05,0.33,1.07E-01
0,0.05,0.34,1.04E-01
0,0.05,0.35,1.02E-01
0,0.05,0.36,1.02E-01
0,0.05,0.37,1.02E-01
0,0.05,0.38,1.04E-01
0,0.05,0.39,1.07E-01
0,0.05,0.4,1.11E-01
0,0.05,0.41,1.15E-01
0,0.05,0.42,1.20E-01
0,0.05,0.43,1.26E-01
0,0.05,0.44,1.33E-01
0,0.05,0.45,1.39E-01
0,0.05,0.46,1.45E-01
0,0.05,0.47,1.50E-01
0,0.05,0.48,1.54E-01
0,0.05,0.49,1.56E-01
0,0.06,0,1.35E+00
0,0.06,0.01,1.28E+00
0,0.06,0.02,1.18E+00
0,0.06,0.03,1.08E+00
0,0.06,0.04,9.73E-01
0,0.06,0.05,8.72E-01
0,0.06,0.06,7.71E-01
0,0.06,0.07,6.78E-01
0,0.06,0.08,5.95E-01
0,0.06,0.09,5.25E-01
0,0.06,0.1,4.67E-01
0,0.06,0.11,4.21E-01
0,0.06,0.12,3.85E-01
0,0.06,0.13,3.59E-01
0,0.06,0.14,3.38E-01
0,0.06,0.15,3.22E-01
0,0.06,0.16,3.10E-01
0,0.06,0.17,2.97E-01
0,0.06,0.18,2.86E-01
0,0.06,0.19,2.73E-01
0,0.06,0.2,2.60E-01
0,0.06,0.21,2.46E-01
0,0.06,0.22,2.31E-01
0,0.06,0.23,2.15E-01
0,0.06,0.24,2.00E-01
0,0.06,0.25,1.85E-01
0,0.06,0.26,1.72E-01
0,0.06,0.27,1.59E-01
0,0.06,0.28,1.47E-01
0,0.06,0.29,1.38E-01
0,0.06,0.3,1.30E-01
0,0.06,0.31,1.23E-01
0,0.06,0.32,1.18E-01
0,0.06,0.33,1.13E-01
0,0.06,0.34,1.11E-01
0,0.06,0.35,1.09E-01
0,0.06,0.36,1.09E-01
0,0.06,0.37,1.10E-01
0,0.06,0.38,1.12E-01
0,0.06,0.39,1.15E-01
0,0.06,0.4,1.19E-01
0,0.06,0.41,1.25E-01
0,0.06,0.42,1.31E-01
0,0.06,0.43,1.39E-01
0,0.06,0.44,1.47E-01
0,0.06,0.45,1.56E-01
0,0.06,0.46,1.63E-01
0,0.06,0.47,1.70E-01
0,0.06,0.48,1.76E-01
0,0.06,0.49,1.79E-01
0,0.07,0,1.64E+00
0,0.07,0.01,1.55E+00
0,0.07,0.02,1.40E+00
0,0.07,0.03,1.27E+00
0,0.07,0.04,1.13E+00
0,0.07,0.05,9.94E-01
0,0.07,0.06,8.69E-01
0,0.07,0.07,7.56E-01
0,0.07,0.08,6.58E-01
0,0.07,0.09,5.77E-01
0,0.07,0.1,5.12E-01
0,0.07,0.11,4.61E-01
0,0.07,0.12,4.23E-01
0,0.07,0.13,3.95E-01
0,0.07,0.14,3.73E-01
0,0.07,0.15,3.57E-01
0,0.07,0.16,3.42E-01
0,0.07,0.17,3.28E-01
0,0.07,0.18,3.14E-01
0,0.07,0.19,2.99E-01
0,0.07,0.2,2.84E-01
0,0.07,0.21,2.67E-01
0,0.07,0.22,2.49E-01
0,0.07,0.23,2.32E-01
0,0.07,0.24,2.15E-01
0,0.07,0.25,1.98E-01
0,0.07,0.26,1.83E-01
0,0.07,0.27,1.70E-01
0,0.07,0.28,1.57E-01
0,0.07,0.29,1.47E-01
0,0.07,0.3,1.38E-01
0,0.07,0.31,1.31E-01
0,0.07,0.32,1.26E-01
0,0.07,0.33,1.21E-01
0,0.07,0.34,1.18E-01
0,0.07,0.35,1.17E-01
0,0.07,0.36,1.17E-01
0,0.07,0.37,1.18E-01
0,0.07,0.38,1.20E-01
0,0.07,0.39,1.23E-01
0,0.07,0.4,1.29E-01
0,0.07,0.41,1.36E-01
0,0.07,0.42,1.44E-01
0,0.07,0.43,1.53E-01
0,0.07,0.44,1.64E-01
0,0.07,0.45,1.74E-01
0,0.07,0.46,1.84E-01
0,0.07,0.47,1.94E-01
0,0.07,0.48,2.02E-01
0,0.07,0.49,2.06E-01
0,0.08,0,1.93E+00
0,0.08,0.01,1.80E+00
0,0.08,0.02,1.61E+00
0,0.08,0.03,1.45E+00
0,0.08,0.04,1.27E+00
0,0.08,0.05,1.12E+00
0,0.08,0.06,9.66E-01
0,0.08,0.07,8.42E-01
0,0.08,0.08,7.34E-01
0,0.08,0.09,6.49E-01
0,0.08,0.1,5.82E-01
0,0.08,0.11,5.31E-01
0,0.08,0.12,4.94E-01
0,0.08,0.13,4.65E-01
0,0.08,0.14,4.43E-01
0,0.08,0.15,4.26E-01
0,0.08,0.16,4.08E-01
0,0.08,0.17,3.92E-01
0,0.08,0.18,3.74E-01
0,0.08,0.19,3.55E-01
0,0.08,0.2,3.36E-01
0,0.08,0.21,3.15E-01
0,0.08,0.22,2.94E-01
0,0.08,0.23,2.73E-01
0,0.08,0.24,2.53E-01
0,0.08,0.25,2.34E-01
0,0.08,0.26,2.16E-01
0,0.08,0.27,2.01E-01
0,0.08,0.28,1.87E-01
0,0.08,0.29,1.77E-01
0,0.08,0.3,1.66E-01
0,0.08,0.31,1.58E-01
0,0.08,0.32,1.52E-01
0,0.08,0.33,1.46E-01
0,0.08,0.34,1.43E-01
0,0.08,0.35,1.41E-01
0,0.08,0.36,1.40E-01
0,0.08,0.37,1.41E-01
0,0.08,0.38,1.43E-01
0,0.08,0.39,1.47E-01
0,0.08,0.4,1.54E-01
0,0.08,0.41,1.61E-01
0,0.08,0.42,1.72E-01
0,0.08,0.43,1.83E-01
0,0.08,0.44,1.95E-01
0,0.08,0.45,2.08E-01
0,0.08,0.46,2.21E-01
0,0.08,0.47,2.32E-01
0,0.08,0.48,2.43E-01
0,0.08,0.49,2.48E-01
0,0.09,0,2.18E+00
0,0.09,0.01,2.02E+00
0,0.09,0.02,1.79E+00
0,0.09,0.03,1.59E+00
0,0.09,0.04,1.39E+00
0,0.09,0.05,1.22E+00
0,0.09,0.06,1.07E+00
0,0.09,0.07,9.37E-01
0,0.09,0.08,8.30E-01
0,0.09,0.09,7.49E-01
0,0.09,0.1,6.87E-01
0,0.09,0.11,6.42E-01
0,0.09,0.12,6.07E-01
0,0.09,0.13,5.81E-01
0,0.09,0.14,5.59E-01
0,0.09,0.15,5.39E-01
0,0.09,0.16,5.19E-01
0,0.09,0.17,4.98E-01
0,0.09,0.18,4.75E-01
0,0.09,0.19,4.50E-01
0,0.09,0.2,4.24E-01
0,0.09,0.21,3.98E-01
0,0.09,0.22,3.72E-01
0,0.09,0.23,3.46E-01
