Node Number,x,y,z,Dynamic Pressure
27.0,0.,0.,0.,3.77e-07
23.0,0.010,0.,0.,1.7e-06
41.0,0.02,0.,0.,6.46e-06
59.0,0.031,0.,0.,1.59e-05
84.0,0.041,0.,0.,3.1e-05
117.0,0.051,0.,0.,5.33e-05
159.0,0.061,0.,0.,8.58e-05
211.0,0.071,0.,0.,0.000133
274.0,0.082,0.,0.,0.000203
349.0,0.092,0.,0.,0.000303
437.0,0.102,0.,0.,0.000449
539.0,0.112,0.,0.,0.000661
656.0,0.122,0.,0.,0.000966
789.0,0.133,0.,0.,0.0014
939.0,0.143,0.,0.,0.00194
1107.0,0.153,0.,0.,0.00251
1294.0,0.163,0.,0.,0.00306
1501.0,0.173,0.,0.,0.00359
1729.0,0.184,0.,0.,0.00414
1979.0,0.194,0.,0.,0.00466
2252.0,0.204,0.,0.,0.0051
2549.0,0.214,0.,0.,0.00541
2871.0,0.225,0.,0.,0.00553
3219.0,0.235,0.,0.,0.00548
3594.0,0.245,0.,0.,0.00526
3997.0,0.255,0.,0.,0.00494
4429.0,0.265,0.,0.,0.00446
4891.0,0.276,0.,0.,0.00378
5384.0,0.286,0.,0.,0.00303
5909.0,0.296,0.,0.,0.00234
6467.0,0.306,0.,0.,0.0018
7059.0,0.316,0.,0.,0.00141
7686.0,0.327,0.,0.,0.00108
8349.0,0.337,0.,0.,0.00081
9049.0,0.347,0.,0.,0.000601
9787.0,0.357,0.,0.,0.000472
10564.0,0.367,0.,0.,0.000382
11381.0,0.378,0.,0.,0.000279
12239.0,0.388,0.,0.,0.000185
13139.0,0.398,0.,0.,0.000118
14082.0,0.408,0.,0.,7.45e-05
15069.0,0.418,0.,0.,4.31e-05
16101.0,0.429,0.,0.,2.48e-05
17179.0,0.439,0.,0.,1.49e-05
18304.0,0.449,0.,0.,9.46e-06
19477.0,0.459,0.,0.,6.23e-06
20699.0,0.469,0.,0.,3.97e-06
21971.0,0.48,0.,0.,2.24e-06
23294.0,0.49,0.,0.,9.66e-07
24669.0,0.5,0.,0.,4.07e-07
28.0,0.,0.010,0.,8.74e-07
24.0,0.010,0.010,0.,3.07e-06
39.0,0.02,0.010,0.,1.05e-05
57.0,0.031,0.010,0.,2.47e-05
82.0,0.041,0.010,0.,4.7e-05
115.0,0.051,0.010,0.,8.05e-05
157.0,0.061,0.010,0.,0.00013
209.0,0.071,0.010,0.,0.000205
272.0,0.082,0.010,0.,0.000316
347.0,0.092,0.010,0.,0.000478
435.0,0.102,0.010,0.,0.000715
537.0,0.112,0.010,0.,0.00107
654.0,0.122,0.010,0.,0.0016
787.0,0.133,0.010,0.,0.00238
937.0,0.143,0.010,0.,0.00336
1105.0,0.153,0.010,0.,0.00443
1292.0,0.163,0.010,0.,0.00542
1499.0,0.173,0.010,0.,0.0064
1727.0,0.184,0.010,0.,0.00745
1977.0,0.194,0.010,0.,0.00848
2250.0,0.204,0.010,0.,0.00938
2547.0,0.214,0.010,0.,0.00999
2869.0,0.225,0.010,0.,0.0102
3217.0,0.235,0.010,0.,0.0101
3592.0,0.245,0.010,0.,0.00955
3995.0,0.255,0.010,0.,0.00884
4427.0,0.265,0.010,0.,0.00787
4889.0,0.276,0.010,0.,0.00652
5382.0,0.286,0.010,0.,0.0051
5907.0,0.296,0.010,0.,0.00382
6465.0,0.306,0.010,0.,0.00291
7057.0,0.316,0.010,0.,0.00231
7684.0,0.327,0.010,0.,0.00176
8347.0,0.337,0.010,0.,0.00132
9047.0,0.347,0.010,0.,0.000958
9785.0,0.357,0.010,0.,0.000718
10562.0,0.367,0.010,0.,0.000595
11379.0,0.378,0.010,0.,0.000482
12237.0,0.388,0.010,0.,0.000344
13137.0,0.398,0.010,0.,0.000228
14080.0,0.408,0.010,0.,0.000145
15067.0,0.418,0.010,0.,8.43e-05
16099.0,0.429,0.010,0.,4.81e-05
17177.0,0.439,0.010,0.,2.87e-05
18302.0,0.449,0.010,0.,1.87e-05
19475.0,0.459,0.010,0.,1.31e-05
20697.0,0.469,0.010,0.,9.23e-06
21969.0,0.48,0.010,0.,6.06e-06
23292.0,0.49,0.010,0.,3.22e-06
24667.0,0.5,0.010,0.,1.78e-06
32.0,0.,0.02,0.,1.96e-06
30.0,0.010,0.02,0.,5.76e-06
49.0,0.02,0.02,0.,1.79e-05
72.0,0.031,0.02,0.,4.05e-05
103.0,0.041,0.02,0.,7.6e-05
143.0,0.051,0.02,0.,0.000131
193.0,0.061,0.02,0.,0.000214
254.0,0.071,0.02,0.,0.000344
327.0,0.082,0.02,0.,0.000537
413.0,0.092,0.02,0.,0.000819
513.0,0.102,0.02,0.,0.00124
628.0,0.112,0.02,0.,0.00188
759.0,0.122,0.02,0.,0.00288
907.0,0.133,0.02,0.,0.00448
1073.0,0.143,0.02,0.,0.00649
1258.0,0.153,0.02,0.,0.00856
1463.0,0.163,0.02,0.,0.0103
1689.0,0.173,0.02,0.,0.0121
1937.0,0.184,0.02,0.,0.0142
2208.0,0.194,0.02,0.,0.0163
2503.0,0.204,0.02,0.,0.0181
2823.0,0.214,0.02,0.,0.0194
3169.0,0.225,0.02,0.,0.0197
3542.0,0.235,0.02,0.,0.0192
3943.0,0.245,0.02,0.,0.0179
4373.0,0.255,0.02,0.,0.0163
4833.0,0.265,0.02,0.,0.0145
5324.0,0.276,0.02,0.,0.0119
5847.0,0.286,0.02,0.,0.00911
6403.0,0.296,0.02,0.,0.00643
6993.0,0.306,0.02,0.,0.00454
7618.0,0.316,0.02,0.,0.0037
8279.0,0.327,0.02,0.,0.00316
8977.0,0.337,0.02,0.,0.00258
9713.0,0.347,0.02,0.,0.00203
10488.0,0.357,0.02,0.,0.00186
